delay,freq,textbox.text,condition,,,,,,,,,,,
0.1,1000,100,exp,,,Average,,Count,std.dev,SE,,,,
0.1,1000,123,exp,,exp.s,514.2222222,,99,258.9797311,2.61595688,,,,
0.1,1000,400,exp,,exp.m,544.2828283,,99,250.5904065,2.531216228,,,unexp.s-exp.s,42.92929293
0.1,1000,190,exp,,exp.l,583.5959596,,99,263.8751993,2.665406053,,,unexp.m-exp.m,-26.94949495
0.1,1000,700,exp,,unexp.s,557.1515152,,33,263.4146115,7.982260956,,,unexp.l-exp.l,-83.29292929
0.1,1000,400,exp,,unexp.m,517.3333333,,33,247.3039206,7.494058201,,,,
0.1,1000,100,exp,,unexp.l,500.3030303,,33,260.9652138,7.908036781,,,,
0.1,1000,890,exp,,,,,,,,,,,
0.1,1000,950,exp,,,,,,,,,,,
0.1,1000,400,exp,,,,,,,,,,,
0.1,1000,450,exp,,,,,,,,,,,
0.1,1000,109,exp,,,,,,,,,,,
0.1,1000,845,exp,,,,,,,,,,,
0.1,1000,300,exp,,,,,,,,,,,
0.1,1000,400,exp,,,,,,,,,,,
0.1,1000,699,exp,,,,,,,,,,,
0.1,1000,998,exp,,,,,,,,,,,
0.1,1000,178,exp,,,,,,,,,,,
0.1,1000,200,exp,,,,,,,,,,,
0.1,1000,454,exp,,,,,,,,,,,
0.1,1000,555,exp,,,,,,,,,,,
0.1,1000,777,exp,,,,,,,,,,,
0.1,1000,400,exp,,,,,,,,,,,
0.1,1000,90,exp,,,,,,,,,,,
0.1,1000,343,exp,,,,,,,,,,,
0.1,1000,400,exp,,,,,,,,,,,
0.1,1000,700,exp,,,,,,,,,,,
0.1,1000,777,exp,,,,,,,,,,,
0.1,1000,888,exp,,,,,,,,,,,
0.1,1000,987,exp,,,,,,,,,,,
0.1,1000,544,exp,,,,,,,,,,,
0.1,1000,666,exp,,,,,,,,,,,
0.1,1000,666,exp,,,,,,,,,,,
0.1,1000,232,exp,,,,,,,,,,,
0.1,1000,879,exp,,,,,,,,,,,
0.1,1000,768,exp,,,,,,,,,,,
0.1,1000,325,exp,,,,,,,,,,,
0.1,1000,546,exp,,,,,,,,,,,
0.1,1000,211,exp,,,,,,,,,,,
0.1,1000,555,exp,,,,,,,,,,,
0.1,1000,434,exp,,,,,,,,,,,
0.1,1000,777,exp,,,,,,,,,,,
0.1,1000,344,exp,,,,,,,,,,,
0.1,1000,545,exp,,,,,,,,,,,
0.1,1000,765,exp,,,,,,,,,,,
0.1,1000,500,exp,,,,,,,,,,,
0.1,1000,900,exp,,,,,,,,,,,
0.1,1000,30,exp,,,,,,,,,,,
0.1,1000,555,exp,,,,,,,,,,,
0.1,1000,876,exp,,,,,,,,,,,
0.1,1000,898,exp,,,,,,,,,,,
0.1,1000,111,exp,,,,,,,,,,,
0.1,1000,234,exp,,,,,,,,,,,
0.1,1000,545,exp,,,,,,,,,,,
0.1,1000,768,exp,,,,,,,,,,,
0.1,1000,888,exp,,,,,,,,,,,
0.1,1000,500,exp,,,,,,,,,,,
0.1,1000,568,exp,,,,,,,,,,,
0.1,1000,800,exp,,,,,,,,,,,
0.1,1000,834,exp,,,,,,,,,,,
0.1,1000,545,exp,,,,,,,,,,,
0.1,1000,767,exp,,,,,,,,,,,
0.1,1000,767,exp,,,,,,,,,,,
0.1,1000,786,exp,,,,,,,,,,,
0.1,1000,556,exp,,,,,,,,,,,
0.1,1000,989,exp,,,,,,,,,,,
0.1,1000,546,exp,,,,,,,,,,,
0.1,1000,500,exp,,,,,,,,,,,
0.1,1000,555,exp,,,,,,,,,,,
0.1,1000,567,exp,,,,,,,,,,,
0.1,1000,768,exp,,,,,,,,,,,
0.1,1000,879,exp,,,,,,,,,,,
0.1,1000,645,exp,,,,,,,,,,,
0.1,1000,600,exp,,,,,,,,,,,
0.1,1000,300,exp,,,,,,,,,,,
0.1,1000,300,exp,,,,,,,,,,,
0.1,1000,200,exp,,,,,,,,,,,
0.1,1000,500,exp,,,,,,,,,,,
0.1,1000,200,exp,,,,,,,,,,,
0.1,1000,500,exp,,,,,,,,,,,
